name-version.extension*,license*,copyrights*,end-of-support,dependencies,language,repository,email,URL
SparseBitSet-1.2.jar,Apache-2.0,Copyright non presente,,,Java,,,
activation-1.1.1.jar,CDDL-1.0,Copyright non presente,,,Java,,,
apache-mime4j-0.6.jar,Apache-2.0,Copyright non presente,,,Java,,,
cache-api-1.0.0.jar,Apache-2.0,Copyright non presente,,,Java,,,
commons-codec-1.11.jar,Apache-2.0,Copyright non presente,,,Java,,,
commons-collections4-4.4.jar,Apache-2.0,Copyright non presente,,,Java,,,
commons-compress-1.19.jar,Apache-2.0,Copyright non presente,,,Java,,,
commons-io-2.5.jar,Apache-2.0,Copyright non presente,,,Java,,,
commons-lang-2.5.jar,Apache-2.0,Copyright non presente,,,Java,,,
commons-lang3-3.9.jar,Apache-2.0,Copyright non presente,,,Java,,,
commons-math3-3.6.1.jar,Apache-2.0,Copyright non presente,,,Java,,,
commons-text-1.8.jar,Apache-2.0,Copyright non presente,,,Java,,,
csi-stadapter-1.4.6.jar,Apache-2.0 MIT (Rilasciata da CSI Piemonte su richiesta),CSI-Piemonte,,,Java,,,
curvesapi-1.06.jar,BSD LICENSE,Copyright non presente,,,Java,,,
gson-2.8.1.jar,Apache-2.0,Google,,,Java,,,
gson-fire-1.8.0.jar,MIT,Copyright non presente,,,Java,,,
guava-25.0-jre.jar,Apache-2.0,Copyright non presente,,,Java,,,
httpclient-4.5.4.jar,Apache-2.0,Copyright non presente,,,Java,,,
httpcore-4.4.5.jar,Apache-2.0,Copyright non presente,,,Java,,,
iridev2-pep-intf-2.0.0.jar,Apache-2.0 MIT (Rilasciata da CSI Piemonte su richiesta),CSI-Piemonte,,,Java,,,
jackson-annotations-2.9.9.jar,Apache-2.0,Copyright non presente,,,Java,,,
jackson-core-2.9.9.jar,Apache-2.0,Copyright non presente,,,Java,,,
jackson-coreutils-1.0.jar,LGPL-3.0,Copyright non presente,,,Java,,,
jackson-databind-2.9.9.jar,Apache-2.0,Copyright non presente,,,Java,,,
jackson-dataformat-yaml-2.9.10.jar,Apache-2.0,Copyright non presente,,,Java,,,
jackson-jaxrs-base-2.9.9.jar,Apache-2.0,Copyright non presente,,,Java,,,
jackson-jaxrs-json-provider-2.9.9.jar,Apache-2.0,Copyright non presente,,,Java,,,
jackson-module-jaxb-annotations-2.9.9.jar,Apache-2.0,Copyright non presente,,,Java,,,
javaee-api-8.0.1.jar,CDDL GPL-2.0 w/cpe,Copyright non presente,,,Java,,,https://javaee.github.io/glassfish/LICENSE
javaee-web-api-8.0.1.jar,CDDL GPL-2.0 w/cpe,Copyright non presente,,,Java,,,https://javaee.github.io/glassfish/LICENSE
javassist-3.23.2-GA.jar,MPL-1.1 LGPL-2.1 Apache-2.0,Copyright non presente,,,Java,,,
javax.activation-api-1.2.0.jar,CDDL-1.1,Copyright non presente,,,Java,,,
javax.annotation-api-1.3.2.jar,CDDL GPL-2.0 w/cpe,Copyright non presente,,,Java,,,https://github.com/javaee/javax.annotation/blob/master/LICENSE
javax.mail-1.6.2.jar,CDDL-1.1,Copyright non presente,,,Java,,,http://www.opensource.org/licenses/cpl1.0.txt
javax.xml.soap-api-1.4.0.jar,CDDL GPL-2.0 w/cpe,Copyright non presente,,,Java,,,https://github.com/javaee/javax.xml.soap/blob/master/LICENSE
jaxb-api-2.3.1.jar,CDDL-1.1 GPL-1.1,Copyright non presente,,,Java,,,
jaxws-api-2.3.1.jar,CDDL GPL-2.0 w/cpe,Copyright non presente,,,Java,,,
jboss-annotations-api_1.3_spec-1.0.1.Final.jar,CDDL-1.1,Copyright non presente,,,Java,,,
jboss-jaxb-api_2.3_spec-1.0.1.Final.jar,CDDL GPL-2.0 w/cpe,Redhat,,,Java,,,
jboss-jaxrs-api_2.1_spec-1.0.2.Final.jar,CDDL-1.0,Redhat,,,Java,,,
jboss-logging-3.4.0.Final.jar,Apache-2.0,Redhat,,,Java,,,
jcip-annotations-1.0.jar,Public Domain,Copyright non presente,,,Java,,,
joda-time-2.3.jar,Apache-2.0,Copyright non presente,,,Java,,,
json-patch-1.3.jar,LGPL-3.0,Copyright non presente,,,Java,,,
jsr311-api-1.1.1.jar,CDDL-1.0,Copyright non presente,,,Java,,,
log4j-api-2.16.0.jar,Apache-2.0,Copyright non presente,,,Java,,,
logging-interceptor-2.7.5.jar,Apache-2.0,Copyright non presente,,,Java,,,
mapstruct-1.3.1.Final.jar,Apache-2.0,Copyright non presente,,,Java,,,
okhttp-2.7.5.jar,Apache-2.0,Copyright non presente,,,Java,,,
okio-1.6.0.jar,Apache-2.0,Copyright non presente,,,Java,,,
poi-4.1.2.jar,Apache-2.0,Copyright non presente,,,Java,,,
reactive-streams-1.0.2.jar,CC0,Copyright non presente,,,Java,,,
reflections-0.9.11.jar,BSD WTFPL,Copyright non presente,,,Java,,,
resteasy-jaxrs-3.7.0.Final.jar,Apache-2.0,Copyright non presente,,,Java,,,
slf4j-api-1.7.22.jbossorg-1.jar,MIT,Copyright non presente,,,Java,,,
snakeyaml-1.23.jar,Apache-2.0,Copyright non presente,,,Java,,,
swagger-annotations-1.5.24.jar,Apache-2.0,Copyright non presente,,,Java,,,
swagger-core-1.5.24.jar,Apache-2.0,Copyright non presente,,,Java,,,
swagger-jaxrs-1.5.24.jar,Apache-2.0,Copyright non presente,,,Java,,,
swagger-models-1.5.24.jar,Apache-2.0,Copyright non presente,,,Java,,,
threetenbp-1.3.5.jar,BSD-3-clause,Copyright non presente,,,Java,,,
threetenbp-1.3.5.jar: threeten-TZDB-2017b.jar,BSD-3-clause,Copyright non presente,,,Java,,,
threetenbp-1.3.5.jar: threeten-TZDB-all.jar,BSD-3-clause,Copyright non presente,,,Java,,,
util-perf-1.0.1.jar,Apache-2.0 MIT (Rilasciata da CSI Piemonte su richiesta),CSI-Piemonte,,,Java,,,
validation-api-2.0.1.Final.jar,Apache-2.0,Copyright non presente,,,Java,,,
xmlbeans-3.1.0.jar,Apache-2.0,Copyright non presente,,,Java,,,
